,MLBID,FIRSTNAME,LASTNAME,Player,Team,Age,W,L,ERA,IP,H,ER,HR,BB,K,WHIP,salary
217,666200,Jesus,Luzardo,Jesus Luzardo,OAK,24,2,4,6.87,38.0,46,29,11,16,40,1.63,"$575,500"
218,543475,Jordan,Lyles,Jordan Lyles,TEX,31,10,13,5.15,180.0,194,103,38,56,146,1.39,"$8,000,000"
219,663738,Daniel,Lynch,Daniel Lynch,KC,24,4,6,5.69,68.0,80,43,9,31,55,1.63,"$570,500"
220,458681,Lance,Lynn,Lance Lynn,CWS,34,11,6,2.69,157.0,123,47,18,45,176,1.07,"$9,333,334"
221,628317,Kenta,Maeda,Kenta Maeda,MIN,33,6,5,4.66,106.1,106,55,16,32,113,1.3,"$5,625,000"
222,641816,Tyler,Mahle,Tyler Mahle,CIN,27,13,6,3.75,180.0,158,75,24,64,210,1.23,"$2,200,000"
223,640455,Sean,Manaea,Sean Manaea,OAK,29,11,10,3.91,179.1,179,78,25,41,194,1.23,"$5,950,000"
224,666159,Matt,Manning,Matt Manning,DET,23,4,7,5.8,85.1,96,55,10,33,57,1.51,"$570,500"
225,666201,Alek,Manoah,Alek Manoah,TOR,23,9,2,3.22,111.2,77,40,12,40,127,1.05,"$570,500"
226,676606,Nick,Margevicius,Nick Margevicius,SEA,25,0,2,8.25,12.0,13,11,2,7,12,1.67,"$586,900"
227,608566,German,Marquez,German Marquez,COL,26,12,11,4.4,180.0,165,88,21,64,176,1.27,"$7,800,000"
228,605359,Evan,Marshall,Evan Marshall,CWS,31,0,2,5.6,27.1,28,17,5,9,26,1.35,"$2,000,000"
229,656685,Brett,Martin,Brett Martin,TEX,26,4,4,3.18,62.1,67,22,5,14,42,1.3,"$589,500"
230,593372,Carlos,Martinez,Carlos Martinez,STL,30,4,9,6.23,82.1,77,57,8,36,57,1.37,"$11,700,000"
231,455119,Chris,Martin,Chris Martin,ATL,35,2,4,3.95,43.1,49,19,4,6,33,1.27,"$7,000,000"
232,664208,Phil,Maton,Phil Maton,HOU,28,4,0,4.97,25.1,29,14,2,12,24,1.62,"$975,000"
233,554431,Tyler,Matzek,Tyler Matzek,ATL,31,0,4,2.57,63.0,40,18,3,37,77,1.22,"$600,500"
234,571927,Steven,Matz,Steven Matz,TOR,30,14,7,3.82,150.2,158,64,18,43,144,1.33,"$5,200,000"
235,669160,Dustin,May,Dustin May,LAD,24,1,1,2.74,23.0,16,7,4,6,35,0.96,"$590,500"
236,594577,Mike,Mayers,Mike Mayers,LAA,29,5,5,3.84,75.0,71,32,11,26,90,1.29,"$1,200,000"
237,543507,Trevor,May,Trevor May,NYM,32,7,3,3.59,62.2,55,25,10,24,83,1.26,"$8,000,000"
238,641835,Tim,Mayza,Tim Mayza,TOR,29,5,2,3.4,53.0,40,20,5,12,57,0.98,"$600,000"
239,663556,Shane,McClanahan,Shane McClanahan,TB,24,10,6,3.43,123.1,120,47,14,37,141,1.27,"$570,500"
240,621121,Lance,McCullers,Lance McCullers,HOU,28,13,5,3.16,162.1,122,57,13,76,185,1.22,"$7,083,333"
241,519008,T.J.,McFarland,T.J. McFarland,STL,32,4,1,2.56,38.2,32,11,3,9,21,1.06,"$1,000,000"
242,459429,Jake,McGee,Jake McGee,SF,35,3,2,2.72,59.2,44,18,7,10,58,0.91,"$2,000,000"
243,543521,Collin,McHugh,Collin McHugh,TB,34,6,1,1.55,64.0,48,11,3,12,74,0.94,"$1,800,000"
244,663474,Triston,McKenzie,Triston McKenzie,CLE,24,5,9,4.95,120.0,84,66,21,58,136,1.18,"$575,300"
